,Rank,Country,Cost_of_Living_Index,Monthly_Income,Purchasing_Power_Index,Income_Cost_Ratio,PP_to_Cost_Ratio
0,1,Bermuda,144.1,12096,120.6,83.94170714781401,0.8369188063844553
1,2,Cayman Islands,140.1,6172,63.3,44.05424696645254,0.4518201284796574
2,3,Turks and Caicos Islands,131.7,3063,33.4,23.25740318906606,0.2536066818526955
3,4,Switzerland,125.8,7935,90.7,63.07631160572337,0.7209856915739269
4,5,Barbados,124.4,2095,24.2,16.840836012861736,0.1945337620578778
5,6,Iceland,116.7,6850,84.4,58.69751499571551,0.7232219365895459
6,7,Bahamas,110.7,3085,40.1,27.868112014453477,0.36224028906955735
7,8,Vanuatu,107.4,324,4.3,3.0167597765363126,0.04003724394785847
8,9,New Caledonia,105.3,2506,34.2,23.798670465337132,0.3247863247863248
9,10,Denmark,103.1,6045,84.2,58.63239573229874,0.816682832201746
10,11,Virgin Islands,101.0,1161,16.5,11.495049504950495,0.16336633663366337
11,12,Israel,100.5,4409,63.0,43.87064676616915,0.6268656716417911
12,13,United States,100.0,6958,100.0,69.58,1.0
13,14,Ireland,99.5,6721,97.0,67.54773869346734,0.9748743718592965
14,15,Palau,99.3,1173,17.0,11.812688821752266,0.17119838872104734
15,16,Luxembourg,95.8,7054,105.9,73.63256784968685,1.105427974947808
16,17,Marshall Islands,95.2,708,10.7,7.436974789915966,0.11239495798319327
17,18,Faroe Islands,94.7,6089,92.4,64.29778247096093,0.9757127771911299
18,19,Australia,94.7,5223,79.3,55.15311510031679,0.8373812038014783
19,20,Micronesia,92.7,353,5.5,3.8079827400215747,0.0593311758360302
20,21,French Polynesia,92.4,1994,31.0,21.58008658008658,0.33549783549783546
21,22,Solomon Islands,90.2,159,2.5,1.762749445676275,0.027716186252771616
22,23,United Kingdom,89.9,4123,65.9,45.86206896551724,0.7330367074527253
23,24,New Zealand,89.9,3965,63.4,44.10456062291435,0.7052280311457174
24,25,Puerto Rico,89.7,2155,34.5,24.02452619843924,0.3846153846153846
25,26,Norway,89.4,8181,131.5,91.51006711409396,1.470917225950783
26,27,Finland,89.0,4304,69.5,48.359550561797754,0.7808988764044944
27,28,Canada,87.4,4450,73.2,50.91533180778032,0.8375286041189931
28,31,Aruba,84.5,2964,50.4,35.07692307692308,0.5964497041420118
29,32,Belgium,84.0,4608,78.8,54.857142857142854,0.9380952380952381
30,33,Netherlands,83.6,5210,89.5,62.32057416267943,1.0705741626794258
31,34,Sweden,83.0,4849,84.0,58.42168674698795,1.0120481927710843
32,36,Austria,81.4,4563,80.6,56.056511056511056,0.99017199017199
33,37,Haiti,81.1,147,2.6,1.8125770653514182,0.03205918618988903
34,38,France,80.2,3763,67.5,46.920199501246884,0.841645885286783
35,43,Germany,78.3,4591,84.2,58.63346104725415,1.0753512132822478
36,44,Singapore,78.0,6229,114.8,79.85897435897436,1.4717948717948717
37,48,Hong Kong,74.8,4756,91.3,63.58288770053476,1.2205882352941178
38,52,Italy,70.3,3216,65.7,45.74679943100996,0.9345661450924609
39,56,South Korea,68.4,3063,64.3,44.78070175438596,0.9400584795321636
40,57,Costa Rica,67.6,1302,27.7,19.2603550295858,0.4097633136094675
41,59,Japan,66.8,3000,64.5,44.91017964071857,0.9655688622754491
42,60,Malta,66.0,3061,66.6,46.378787878787875,1.009090909090909
43,61,Spain,65.5,2796,61.3,42.68702290076336,0.9358778625954198
44,64,Czechia,63.7,2463,55.5,38.665620094191524,0.8712715855572998
45,68,Portugal,62.7,2243,51.4,35.77352472089314,0.8197767145135566
46,70,Greece,62.0,1894,43.9,30.548387096774192,0.7080645161290322
47,75,Mexico,60.0,1071,25.7,17.85,0.42833333333333334
48,85,Hungary,53.0,1731,46.9,32.660377358490564,0.8849056603773585
49,88,Poland,52.1,1799,49.7,34.52975047984645,0.9539347408829175
50,92,Albania,50.7,826,23.4,16.29191321499014,0.4615384615384615
51,93,Saudi Arabia,50.2,2969,85.0,59.14342629482071,1.693227091633466
52,96,China,49.4,1138,33.1,23.036437246963562,0.6700404858299596
53,97,Serbia,48.8,968,28.5,19.836065573770494,0.584016393442623
54,101,Brazil,46.9,828,25.4,17.6545842217484,0.5415778251599147
55,104,Romania,45.9,1467,45.9,31.96078431372549,1.0
56,105,Bosnia and Herzegovina,45.7,733,23.0,16.039387308533914,0.5032822757111597
57,106,Montenegro,45.7,1018,32.0,22.275711159737416,0.700218818380744
58,110,Ecuador,45.0,536,17.1,11.911111111111111,0.38
59,112,Guatemala,44.8,482,15.5,10.758928571428573,0.3459821428571429
60,117,South Africa,42.0,509,17.4,12.119047619047619,0.41428571428571426
61,119,Morocco,40.7,320,11.3,7.862407862407862,0.27764127764127766
62,122,Colombia,40.2,587,20.9,14.601990049751242,0.5199004975124377
63,125,Dominican Republic,39.8,857,31.0,21.532663316582916,0.7788944723618091
64,131,Turkey,38.2,1122,42.2,29.371727748691097,1.1047120418848166
65,138,Cambodia,36.4,213,8.4,5.851648351648352,0.23076923076923078
66,139,Philippines,36.2,373,14.8,10.303867403314916,0.4088397790055249
67,141,Cameroon,34.2,142,5.9,4.152046783625731,0.17251461988304093
68,143,Bolivia,33.6,347,14.9,10.327380952380953,0.44345238095238093
69,149,Indonesia,32.2,409,18.2,12.701863354037267,0.5652173913043478
70,150,Malaysia,31.7,971,44.0,30.630914826498422,1.38801261829653
71,151,Algeria,31.5,448,20.4,14.222222222222221,0.6476190476190475
72,152,Russia,31.3,1277,58.6,40.798722044728436,1.8722044728434504
73,154,Thailand,31.1,592,27.4,19.035369774919612,0.8810289389067524
74,161,Vietnam,28.7,374,18.8,13.031358885017422,0.6550522648083624
75,162,Bangladesh,28.6,235,11.8,8.216783216783217,0.4125874125874126
76,163,Ukraine,26.9,434,23.2,16.133828996282528,0.862453531598513
77,164,Uzbekistan,26.6,252,13.6,9.473684210526315,0.5112781954887218
78,165,Nepal,26.4,123,6.7,4.659090909090909,0.2537878787878788
79,166,Laos,26.0,167,9.2,6.423076923076923,0.3538461538461538
80,167,Tanzania,25.2,101,5.7,4.007936507936508,0.2261904761904762
81,168,Belarus,25.0,688,39.6,27.52,1.584
82,169,Bhutan,25.0,312,18.0,12.48,0.72
83,170,Myanmar,23.9,101,6.1,4.2259414225941425,0.25523012552301255
84,171,India,23.8,221,13.3,9.285714285714285,0.5588235294117647
85,172,Pakistan,23.3,119,7.4,5.1072961373390555,0.31759656652360513
86,173,Palestine,21.4,226,15.2,10.560747663551403,0.7102803738317757
87,174,Nigeria,18.0,142,11.3,7.888888888888889,0.6277777777777778
